step,mode,goal_idx,x,y,speed,power,energy_cumulative,distance_cumulative,cot_cumulative,terrain,goal_dist,wp_dist
0,walk,0,-0.15738138556480408,-11.55441951751709,0.4587095379829407,26.05628204345703,0.5211256408691406,0.0,0.27241989642653525,pavement,7.6891069412231445,2.0664165019989014
1,walk,0,-0.14806362986564636,-11.551605224609375,0.4710922837257385,178.11672973632812,4.0834602355957035,0.009733488783240318,2.1346403385324777,pavement,7.683135509490967,4.395199775695801
2,walk,0,-0.13829024136066437,-11.548574447631836,0.4798322916030884,241.29261779785156,8.909312591552734,0.019966021180152893,2.332647154273913,pavement,7.676926136016846,4.3876166343688965
3,walk,0,-0.12847280502319336,-11.546392440795898,0.46389660239219666,135.64402770996094,11.622193145751952,0.030023018829524517,2.0236253500622903,pavement,7.670196056365967,4.379701614379883
4,walk,0,-0.11884699761867523,-11.544660568237305,0.456876665353775,99.33853149414062,13.608963775634765,0.03980338480323553,1.7873163742794533,pavement,7.663368225097656,4.371434211730957
5,walk,0,-0.1094539612531662,-11.543861389160156,0.4420781433582306,69.82141876220703,15.005392150878905,0.04923035763204098,1.5933483696479898,pavement,7.656192779541016,4.363181114196777
6,walk,0,-0.10001440346240997,-11.54334831237793,0.4496387839317322,66.20130920410156,16.329418334960934,0.058683848939836025,1.4546164878169714,pavement,7.648817539215088,4.354794979095459
7,walk,0,-0.0901603102684021,-11.541888236999512,0.4714694619178772,73.92204284667969,17.80785919189453,0.0686455238610506,1.3561129731092534,pavement,7.641663074493408,4.346261024475098
8,walk,0,-0.07942715287208557,-11.540277481079102,0.5309647917747498,110.3117446899414,20.01409408569336,0.07949887402355671,1.3160468218085197,pavement,7.633889198303223,4.337709426879883
9,walk,0,-0.06788540631532669,-11.539417266845703,0.5578630566596985,129.5188751220703,22.604471588134764,0.09107263199985027,1.297486514322588,pavement,7.625028133392334,4.3284101486206055
10,walk,0,-0.05581025406718254,-11.539824485778809,0.5961046814918518,127.43427276611328,25.15315704345703,0.10315464902669191,1.2746767894751552,pavement,7.614999294281006,4.318082332611084
11,walk,0,-0.043309785425662994,-11.540790557861328,0.6076235175132751,128.60507202148438,27.725258483886716,0.11569239292293787,1.2527579895080179,pavement,7.60430383682251,4.306780815124512
12,walk,0,-0.030122099444270134,-11.542316436767578,0.6604661345481873,115.41267395019531,30.03351196289062,0.12896806094795465,1.2173636517061068,pavement,7.5927300453186035,4.294875144958496
13,walk,0,-0.016674796119332314,-11.545494079589844,0.6927345395088196,69.7427978515625,31.42836791992187,0.14278570841997862,1.1506241082963224,pavement,7.579980850219727,4.282122611999512
14,walk,0,-0.0027943961322307587,-11.549596786499023,0.7239966988563538,141.55101013183594,34.25938812255859,0.15725974459201097,1.1388287367056555,pavement,7.56633996963501,4.268494129180908
15,walk,0,0.011989321559667587,-11.554000854492188,0.7811381220817566,97.95642852783203,36.218516693115234,0.17268550675362349,1.0964053649078298,pavement,7.551795482635498,4.254108905792236
16,walk,0,0.02752242237329483,-11.558542251586914,0.8127326369285583,86.01222229003906,37.938761138916014,0.1888688774779439,1.050072118726169,pavement,7.5365681648254395,4.238774299621582
17,walk,0,0.04309200495481491,-11.563023567199707,0.7918057441711426,135.19488525390625,40.64265884399414,0.20507054682821035,1.036036851828741,pavement,7.521350860595703,4.222696781158447
18,walk,0,0.05910539999604225,-11.56741714477539,0.8317351341247559,125.63131713867188,43.15528518676758,0.22167573776096106,1.017682273161896,pavement,7.505830764770508,4.206609725952148
19,walk,0,0.07570359110832214,-11.572096824645996,0.8579211831092834,105.87730407714844,45.27283126831055,0.23892100807279348,0.9905575168830586,pavement,7.489675045013428,4.190148830413818
20,walk,0,0.09327267855405807,-11.576519012451172,0.9129528999328613,87.922119140625,47.031273651123044,0.2570380875840783,0.9565014659046169,pavement,7.472893714904785,4.173039436340332
21,walk,0,0.11173079907894135,-11.580470085144043,0.9377848505973816,106.52230834960938,49.16171981811523,0.275914347730577,0.9314277311769283,pavement,7.455682277679443,4.155137538909912
22,walk,0,0.13057105243206024,-11.584771156311035,0.9684423208236694,101.00666046142578,51.18185302734375,0.2952393153682351,0.9062295034014142,pavement,7.437963008880615,4.136603832244873
23,walk,0,0.14986896514892578,-11.589317321777344,0.9857063293457031,130.26968383789062,53.78724670410156,0.3150654872879386,0.8924314414530581,pavement,7.41973876953125,4.117584705352783
24,walk,0,0.16957585513591766,-11.59382152557373,1.0074715614318848,105.0223159790039,55.88769302368164,0.3352805646136403,0.871373172495907,pavement,7.401218891143799,4.098050594329834
25,walk,0,0.1890975832939148,-11.598751068115234,0.9931714534759521,137.3563232421875,58.634819488525395,0.35541506949812174,0.8624146709917879,pavement,7.382602691650391,4.078160285949707
26,walk,0,0.20869426429271698,-11.603924751281738,1.0108155012130737,97.09379577636719,60.576695404052735,0.37568319495767355,0.8429080286662596,pavement,7.36378812789917,4.0582756996154785
