step,mode,goal_idx,x,y,speed,power,energy_cumulative,distance_cumulative,cot_cumulative,terrain,goal_dist,wp_dist
0,walk,0,-0.1632295697927475,-11.554499626159668,0.45040541887283325,28.612464904785156,0.5722492980957031,0.0,0.29914493222285116,pavement,7.693833351135254,2.0719776153564453
1,walk,0,-0.15436427295207977,-11.552536010742188,0.5022963285446167,228.37826538085938,5.139814605712891,0.009080158546566963,2.6868525605545837,pavement,7.687734603881836,4.400593280792236
2,walk,0,-0.14530229568481445,-11.551010131835938,0.5129371285438538,198.51695251464844,9.11015365600586,0.018269703723490238,2.606697159932695,pavement,7.681229114532471,4.3931074142456055
3,walk,0,-0.1359671801328659,-11.55042839050293,0.530758798122406,157.84686279296875,12.267090911865235,0.02762292791157961,2.3214976858681533,pavement,7.6739583015441895,4.385281085968018
4,walk,0,-0.12592270970344543,-11.54983901977539,0.5539522171020508,97.60171508789062,14.219125213623048,0.0376846743747592,1.972443141544116,pavement,7.66611909866333,4.3768510818481445
5,walk,0,-0.11540845036506653,-11.550119400024414,0.5417720675468445,103.85153198242188,16.296155853271486,0.048202671110630035,1.767300685082707,pavement,7.657397270202637,4.367770671844482
6,walk,0,-0.104725182056427,-11.550871849060059,0.5638166666030884,120.59796142578125,18.70811508178711,0.05891240481287241,1.6600442433658744,pavement,7.64826774597168,4.357930660247803
7,walk,0,-0.09375514090061188,-11.550360679626465,0.5892825722694397,172.4200897216797,22.156516876220703,0.0698943492025137,1.6571270394930118,pavement,7.639645099639893,4.347758769989014
8,walk,0,-0.08200938999652863,-11.549553871154785,0.6355980038642883,87.73139953613281,23.91114486694336,0.08166777715086937,1.530544696691954,pavement,7.630570888519287,4.337804317474365
9,walk,0,-0.06970339268445969,-11.549144744873047,0.6494624018669128,95.0029296875,25.81120346069336,0.09398057404905558,1.4357093940415535,pavement,7.620817184448242,4.327249526977539
10,walk,0,-0.056926898658275604,-11.549111366271973,0.6691028475761414,93.03276824951172,27.671858825683593,0.10675711184740067,1.3549956423429184,pavement,7.610468864440918,4.316032409667969
11,walk,0,-0.04363321140408516,-11.548791885375977,0.6898491978645325,102.78973388671875,29.72765350341797,0.12005463801324368,1.2944285076352948,pavement,7.599876880645752,4.304242134094238
12,walk,0,-0.029695633798837662,-11.548687934875488,0.740182101726532,94.20598602294922,31.611773223876952,0.1339926030486822,1.2332877417112547,pavement,7.5886454582214355,4.29209041595459
13,walk,0,-0.015324760228395462,-11.550403594970703,0.7421045899391174,65.88233184814453,32.92941986083984,0.14846552535891533,1.1594575192307193,pavement,7.576003551483154,4.27926778793335
14,walk,0,-0.0008095540106296539,-11.55345630645752,0.758351743221283,50.21332931518555,33.93368644714356,0.16329826787114143,1.0862901603297044,pavement,7.562465667724609,4.2653489112854
15,walk,0,0.014025237411260605,-11.557482719421387,0.796654224395752,65.00410461425781,35.233768539428716,0.17866976838558912,1.0308711932834969,pavement,7.548099994659424,4.250783443450928
16,walk,0,0.0294998399913311,-11.562298774719238,0.8196072578430176,76.423828125,36.76224510192872,0.19487648550421,0.9861408939079598,pavement,7.532756805419922,4.235547065734863
17,walk,0,0.04510166868567467,-11.567880630493164,0.8197606205940247,85.93293762207031,38.480903854370126,0.21144676487892866,0.951350609518418,pavement,7.5168633460998535,4.21941614151001
18,walk,0,0.06095955893397331,-11.574507713317871,0.8797850608825684,77.12571716308594,40.02341819763185,0.22863370459526777,0.9151036860044126,pavement,7.500149250030518,4.202870845794678
19,walk,0,0.07735805958509445,-11.581687927246094,0.9176673293113708,123.63583374023438,42.496134872436535,0.24653527606278658,0.9010870388415335,pavement,7.482673645019531,4.185683727264404
20,walk,0,0.09497326612472534,-11.588356018066406,0.9838491678237915,105.79551696777344,44.612045211792,0.2653703214600682,0.8788123761703477,pavement,7.464521408081055,4.167783737182617
21,walk,0,0.1136903166770935,-11.59434986114502,1.003761649131775,129.7872314453125,47.207789840698254,0.2850236715748906,0.8658230018447166,pavement,7.445883274078369,4.148961544036865
22,walk,0,0.13295307755470276,-11.60031509399414,1.036098599433899,136.57516479492188,49.93929313659669,0.3051889380440116,0.8554014539334466,pavement,7.426827430725098,4.1293864250183105
23,walk,0,0.1528516709804535,-11.60594367980957,1.0571622848510742,144.32810974121094,52.82585533142091,0.3258682759478688,0.8474241491982883,pavement,7.407465934753418,4.109319686889648
24,walk,0,0.17339083552360535,-11.610867500305176,1.0804171562194824,134.65853881835938,55.5190261077881,0.3469893867149949,0.8364154169829867,pavement,7.388014316558838,4.088800430297852
25,walk,0,0.19403371214866638,-11.615944862365723,1.072158932685852,151.84190368652344,58.55586418151857,0.3682475136592984,0.8312409935751268,pavement,7.368397235870361,4.067967414855957
26,walk,0,0.21507218480110168,-11.621200561523438,1.1076691150665283,94.1178970336914,60.4382221221924,0.389932525344193,0.8102491783806494,pavement,7.348365306854248,4.046982288360596
27,walk,0,0.23672723770141602,-11.62592887878418,1.113155722618103,145.43264770507812,63.34687507629396,0.41209777537733316,0.8035655451322614,pavement,7.328163146972656,4.025566101074219
28,walk,0,0.25863808393478394,-11.630266189575195,1.1496737003326416,158.93226623535156,66.52552040100099,0.4344337871298194,0.8004995048210461,pavement,7.308000564575195,4.003792762756348
29,walk,0,0.2807670831680298,-11.63489055633545,1.1749627590179443,119.21949768066406,68.90991035461427,0.45704080630093813,0.7881757868083711,pavement,7.28750467300415,3.981943130493164
30,walk,0,0.3035731911659241,-11.63973331451416,1.1956772804260254,72.16949462890625,70.3533002471924,0.48035541269928217,0.7656286339258941,pavement,7.266347885131836,3.959784984588623
31,walk,0,0.32654252648353577,-11.644736289978027,1.1698615550994873,80.76950073242188,71.96869026184083,0.5038632852956653,0.7466675310533848,pavement,7.244978427886963,3.9369235038757324
32,walk,0,0.3492524027824402,-11.649859428405762,1.1599279642105103,101.91946411132812,74.0070795440674,0.5271438574418426,0.7339061000885669,pavement,7.223756313323975,3.913853883743286
33,walk,0,0.3721434473991394,-11.654808044433594,1.1765753030776978,87.49968719482422,75.75707328796388,0.5505636921152472,0.7193032156935625,pavement,7.202507972717285,3.890979766845703
34,walk,0,0.3949849307537079,-11.659136772155762,1.167715072631836,149.03436279296875,78.73776054382326,0.5738117294386029,0.717315174371452,pavement,7.181687831878662,3.868014097213745
35,walk,0,0.4182302951812744,-11.663139343261719,1.2092341184616089,108.97503662109375,80.91726127624513,0.597399172373116,0.708064694062099,pavement,7.160758018493652,3.8453476428985596
36,walk,0,0.4424480199813843,-11.667293548583984,1.249137282371521,79.64988708496094,82.51025901794435,0.6219706116244197,0.6934808409221077,pavement,7.138979911804199,3.8224494457244873
37,walk,0,0.46716639399528503,-11.671551704406738,1.2638661861419678,86.42939758300781,84.23884696960451,0.6470530750229955,0.6805638702243223,pavement,7.116759777069092,3.7986085414886475
38,walk,0,0.4912661612033844,-11.676642417907715,1.245335578918457,127.32969665527344,86.78544090270998,0.6716846441850066,0.6754260952838731,pavement,7.094541549682617,3.7742772102355957
39,walk,0,0.5149739384651184,-11.682184219360352,1.2261828184127808,89.89388275146484,88.58331855773928,0.6960315192118287,0.6653029062307941,pavement,7.07237434387207,3.750182867050171
40,walk,0,0.5386577248573303,-11.687599182128906,1.2219325304031372,102.1456298828125,90.62623115539553,0.7203264469280839,0.6576895485646214,pavement,7.050318241119385,3.7262701988220215
41,walk,0,0.5622807145118713,-11.693069458007812,1.235592007637024,127.4601821899414,93.17543479919436,0.7445745309814811,0.6541685073476806,pavement,7.028290748596191,3.7024364471435547
42,walk,0,0.5856137275695801,-11.698305130004883,1.2056434154510498,136.06295776367188,95.8966939544678,0.7684877449646592,0.6523235688529556,pavement,7.006651401519775,3.6786417961120605
43,walk,0,0.6086245775222778,-11.703479766845703,1.2075048685073853,110.20174407958984,98.1007288360596,0.7920732507482171,0.6474455769679267,pavement,6.985317707061768,3.6552138328552246
44,walk,0,0.6311110258102417,-11.708196640014648,1.1837369203567505,124.74337005615234,100.59559623718265,0.8150490904226899,0.645195876682609,pavement,6.964694023132324,3.632111072540283
45,walk,0,0.6536537408828735,-11.711956977844238,1.1945419311523438,118.51158142089844,102.96582786560062,0.8379032844677567,0.6423853146340798,pavement,6.944631576538086,3.609680652618408
46,walk,0,0.6767804622650146,-11.71580696105957,1.2114149332046509,98.1978759765625,104.92978538513186,0.8613482741639018,0.6368195359804749,pavement,6.924071788787842,3.5876028537750244
47,walk,0,0.7004008889198303,-11.71986198425293,1.2352885007858276,162.51927185058594,108.18017082214358,0.8853142457082868,0.6387730598775005,pavement,6.903016090393066,3.5649662017822266
48,walk,0,0.7240344285964966,-11.723747253417969,1.2086920738220215,172.84681701660156,111.63710716247562,0.909265018068254,0.6418218123049635,pavement,6.88207483291626,3.541806221008301
49,walk,0,0.7477770447731018,-11.727523803710938,1.221592664718628,185.56613159179688,115.34842979431156,0.9333061100915074,0.6460765217576858,pavement,6.861135482788086,3.518716335296631
50,walk,0,0.7721731066703796,-11.731467247009277,1.2561471462249756,158.05380249023438,118.50950584411625,0.9580188328400254,0.6466592912200906,pavement,6.839601516723633,3.495584487915039
51,walk,0,0.7966175079345703,-11.736539840698242,1.2418872117996216,134.14053344726562,121.19231651306156,0.9829840091988444,0.6445031066832014,pavement,6.81734561920166,3.471802234649658
52,walk,0,0.8206107020378113,-11.743013381958008,1.222496509552002,155.13626098632812,124.29504173278812,1.0078351674601436,0.6447044637816592,pavement,6.794582366943359,3.447510242462158
53,walk,0,0.8440354466438293,-11.749430656433105,1.1903928518295288,143.987060546875,127.17478294372562,1.0321230264380574,0.644118716927786,pavement,6.772311210632324,3.423039674758911
54,walk,0,0.867588460445404,-11.756433486938477,1.2354848384857178,118.3460693359375,129.54170433044436,1.0566950449720025,0.6408498941416493,pavement,6.74958610534668,3.399113416671753
55,walk,0,0.8915136456489563,-11.764878273010254,1.2448498010635376,119.46153259277344,131.93093498229982,1.0820668572559953,0.6373660496177302,pavement,6.725677013397217,3.3748254776000977
56,walk,0,0.9156581163406372,-11.773478507995605,1.2706547975540161,88.04962158203125,133.69192741394045,1.107697299681604,0.630928969461409,pavement,6.701510906219482,3.3495876789093018
57,walk,0,0.9402629137039185,-11.78179931640625,1.3043345212936401,113.99958038330078,135.97191902160645,1.1336709773167968,0.6269870626721109,pavement,6.6771745681762695,3.324087381362915
58,walk,0,0.9653663635253906,-11.79031753540039,1.3412055969238281,148.28262329101562,138.93757148742677,1.160180282779038,0.6260234540035418,pavement,6.652339935302734,3.298293352127075
59,walk,0,0.9906924962997437,-11.798972129821777,1.3391146659851074,147.0135040283203,141.87784156799316,1.1869443440809846,0.624856941477138,pavement,6.627259731292725,3.2719669342041016
60,walk,0,1.015901803970337,-11.807912826538086,1.321883201599121,124.38348388671875,144.36551124572753,1.213692151941359,0.6218008204471429,pavement,6.602101802825928,3.2453839778900146
61,walk,0,1.0412627458572388,-11.816957473754883,1.346448540687561,94.70498657226562,146.25961097717285,1.2406176598742604,0.6162867580130462,pavement,6.576772212982178,3.218785524368286
62,walk,0,1.0667351484298706,-11.82639217376709,1.3535441160202026,63.63705825805664,147.532352142334,1.2677811803296208,0.6083301580660812,pavement,6.551121234893799,3.1920082569122314
63,walk,0,1.0920706987380981,-11.836446762084961,1.3653556108474731,52.1281623840332,148.57491539001467,1.2950389282777905,0.5997345234982784,pavement,6.525192737579346,3.1649632453918457
64,walk,0,1.117097020149231,-11.846633911132812,1.347740650177002,88.29231262207031,150.34076164245607,1.3220591926947236,0.5944594386709775,pavement,6.499427795410156,3.137774705886841
65,walk,0,1.1422024965286255,-11.856267929077148,1.351802110671997,83.05535125732422,152.00186866760257,1.3489496977999806,0.5890464638016131,pavement,6.4739670753479,3.1108081340789795
66,walk,0,1.1676974296569824,-11.865728378295898,1.3738689422607422,82.39508819580078,153.6497704315186,1.3761432943865657,0.5836663271135657,pavement,6.448328971862793,3.084012031555176
67,walk,0,1.1932297945022583,-11.875189781188965,1.3566935062408447,103.49662017822266,155.71970283508304,1.403372318483889,0.5800521511153715,pavement,6.422675609588623,3.0569427013397217
68,walk,0,1.2185817956924438,-11.88374137878418,1.3291789293289185,146.71798706054688,158.65406257629397,1.4301277631893754,0.5799262147678337,pavement,6.3977580070495605,3.029841661453247
69,walk,0,1.2439168691635132,-11.891290664672852,1.3240164518356323,109.11028289794922,160.83626823425294,1.4565636785700917,0.5772326567289551,pavement,6.373514652252197,3.0033035278320312
70,walk,0,1.269247055053711,-11.899415016174316,1.345685362815857,55.10846710205078,161.93843757629395,1.4831648701801896,0.5707644242202973,pavement,6.348921298980713,2.977224588394165
71,walk,0,1.2941572666168213,-11.907289505004883,1.288458228111267,142.08961486816406,164.78022987365722,1.5092900721356273,0.5707274620855651,pavement,6.324825763702393,2.9509034156799316
72,walk,0,1.3182227611541748,-11.914178848266602,1.2489908933639526,117.94686126708984,167.13916709899902,1.534322272054851,0.5694531840639414,pavement,6.302028179168701,2.9250741004943848
73,walk,0,1.3417028188705444,-11.92122745513916,1.2381969690322876,70.03597259521484,168.53988655090333,1.5588374910876155,0.5651949023697551,pavement,6.2795891761779785,2.9004437923431396
74,walk,0,1.365071415901184,-11.927762031555176,1.2195101976394653,83.72781372070312,170.2144428253174,1.583102528937161,0.5620613809950157,pavement,6.257585525512695,2.8762741088867188
75,walk,0,1.3891738653182983,-11.933592796325684,1.282525897026062,55.982666015625,171.3340961456299,1.607900227420032,0.5570332024725969,pavement,6.235500335693359,2.8524396419525146
76,walk,0,1.4138644933700562,-11.939339637756348,1.281233310699463,92.58075714111328,173.18571128845215,1.633250835351646,0.5543136202027328,pavement,6.213045597076416,2.828270435333252
77,walk,0,1.438982367515564,-11.945323944091797,1.3119182586669922,109.31157684326172,175.37194282531738,1.6590717481449246,0.552575119911753,pavement,6.1901350021362305,2.8036246299743652
78,walk,0,1.4647483825683594,-11.951142311096191,1.3200902938842773,92.28104400634766,177.21756370544432,1.685486533679068,0.5496393989460571,pavement,6.166867733001709,2.778503179550171
79,walk,0,1.4908862113952637,-11.957154273986816,1.3606791496276855,106.75846099853516,179.352732925415,1.7123068580403924,0.547548739953563,pavement,6.143218040466309,2.752892255783081
80,walk,0,1.5166974067687988,-11.963397026062012,1.3276103734970093,115.06974792480469,181.65412788391112,1.7388622676953673,0.5461053972681039,pavement,6.119688034057617,2.726877450942993
