step,mode,goal_idx,x,y,speed,power,energy_cumulative,distance_cumulative,cot_cumulative,terrain,goal_dist,wp_dist
0,walk,0,-0.1417417973279953,-11.545428276062012,0.501896858215332,33.65187454223633,0.6730374908447265,0.0,0.35183224383529443,pavement,7.6815619468688965,2.0573577880859375
1,walk,0,-0.13177359104156494,-11.544482231140137,0.5491260886192322,196.3021240234375,4.5990799713134765,0.01001299824565649,2.401061049399053,pavement,7.67399263381958,4.384084701538086
2,walk,0,-0.12165722250938416,-11.54410457611084,0.561102032661438,199.4344024658203,8.587768020629882,0.020136413164436817,2.2294337537275055,pavement,7.665977954864502,4.3752121925354
3,walk,0,-0.11133082211017609,-11.544584274291992,0.578432023525238,147.08621215820312,11.529492263793944,0.030473949387669563,1.9777792747142646,pavement,7.6572980880737305,4.365992546081543
4,walk,0,-0.10037336498498917,-11.545183181762695,0.6051158905029297,76.13917541503906,13.052275772094726,0.041447761468589306,1.6461960013352166,pavement,7.648040294647217,4.356256484985352
5,walk,0,-0.08897750824689865,-11.54707145690918,0.6020462512969971,103.81107330322266,15.128497238159179,0.05299900099635124,1.492191246896309,pavement,7.637679100036621,4.345893859863281
6,walk,0,-0.07752080261707306,-11.549918174743652,0.616974949836731,87.51416778564453,16.87878059387207,0.0648040808737278,1.3615547003697024,pavement,7.626712799072266,4.3346381187438965
7,walk,0,-0.06601903587579727,-11.552229881286621,0.6317365169525146,129.16702270507812,19.462121047973632,0.0765358591452241,1.329295666531232,pavement,7.616024494171143,4.322961807250977
8,walk,0,-0.05393749475479126,-11.555133819580078,0.6778022050857544,69.41108703613281,20.850342788696288,0.08896149788051844,1.2252014269018296,pavement,7.604522705078125,4.311448574066162
9,walk,0,-0.04139254242181778,-11.5588960647583,0.6812856793403625,63.772560119628906,22.125793991088866,0.1020584562793374,1.1333035540670284,pavement,7.592145919799805,4.2991743087768555
10,walk,0,-0.028540898114442825,-11.563193321228027,0.6985965967178345,70.8011245727539,23.541816482543943,0.11560951452702284,1.0644929111709125,pavement,7.57921028137207,4.286144733428955
11,walk,0,-0.015326032415032387,-11.567154884338379,0.7071831822395325,88.78453063964844,25.31750709533691,0.12940540723502636,1.0227391899107634,pavement,7.566178321838379,4.272626876831055
