step,mode,goal_idx,x,y,speed,power,energy_cumulative,distance_cumulative,cot_cumulative,terrain,goal_dist,wp_dist
0,drive,0,-0.157381385564804,-11.55441951751709,0.43577406108379363,39.08442306518555,0.781688461303711,0.0,78.1688461303711,pavement,7.689106941223144,2.0664165019989014
1,drive,0,-0.1480636298656463,-11.551605224609377,0.44753766953945157,267.1750946044922,6.125190353393554,0.009733489396901279,3.2896327074831784,pavement,7.683135509490967,4.395199775695801
2,drive,0,-0.1382902413606643,-11.548574447631836,0.45584067702293396,361.9389266967774,13.363968887329102,0.01996602241453214,3.4989705150905244,pavement,7.676926136016846,4.3876166343688965
3,drive,0,-0.1284728050231933,-11.546392440795898,0.4407017722725867,203.4660415649414,17.433289718627933,0.030023020479182157,3.035437858306969,pavement,7.670196056365967,4.379701614379883
4,drive,0,-0.1188469976186752,-11.544660568237305,0.43403283208608623,149.00779724121094,20.41344566345215,0.03980338605251762,2.680974477273237,pavement,7.663368225097656,4.371434211730957
5,drive,0,-0.1094539612531662,-11.543861389160156,0.41997423619031904,104.73212814331055,22.508088226318364,0.049230359021669834,2.3900224870086486,pavement,7.656192779541016,4.363181114196777
6,drive,0,-0.1000144034624099,-11.54334831237793,0.42715684473514554,99.30196380615234,24.494127502441412,0.058683850390972916,2.1819246777707253,pavement,7.648817539215088,4.354794979095459
7,drive,0,-0.0901603102684021,-11.541888236999512,0.44789598882198334,110.88306427001953,26.7117887878418,0.06864552559080017,2.0341694084062976,pavement,7.641663074493408,4.346261024475098
8,drive,0,-0.0794271528720855,-11.540277481079102,0.5044165521860122,165.4676170349121,30.021141128540044,0.07949887541144274,1.9740701982495945,pavement,7.633889198303223,4.337709426879883
9,drive,0,-0.0678854063153266,-11.539417266845703,0.5299699038267135,194.27831268310547,33.90670738220216,0.09107263375123009,1.94622973405675,pavement,7.625028133392334,4.3284101486206055
10,drive,0,-0.0558102540671825,-11.539824485778809,0.5662994474172592,191.15140914916992,37.72973556518556,0.1031546505148064,1.9120151566299004,pavement,7.614999294281006,4.318082332611084
11,drive,0,-0.0433097854256629,-11.540790557861328,0.5772423416376113,192.90760803222656,41.587887725830086,0.11569239399304995,1.8791369668807019,pavement,7.60430383682251,4.306780815124512
12,drive,0,-0.0301220994442701,-11.542316436767578,0.6274428278207779,173.119010925293,45.05026794433594,0.12896806226174223,1.8260454589573782,pavement,7.5927300453186035,4.294875144958496
13,drive,0,-0.0166747961193323,-11.545494079589844,0.6580978125333786,104.61419677734375,47.14255187988282,0.1427857096960481,1.7259361470198702,pavement,7.579980850219727,4.282122611999512
14,drive,0,-0.0027943961322307,-11.549596786499023,0.687796863913536,212.3265151977539,51.38908218383789,0.1572597453386932,1.7082430969476048,pavement,7.56633996963501,4.268494129180908
15,drive,0,0.0119893215596675,-11.554000854492188,0.7420812159776687,146.93464279174808,54.32777503967286,0.17268550702757443,1.6446080447527136,pavement,7.551795482635498,4.254108905792236
16,drive,0,0.0275224223732948,-11.558542251586914,0.7720960050821304,129.0183334350586,56.90814170837403,0.18886887838394822,1.5751081705334573,pavement,7.536568164825439,4.238774299621582
17,drive,0,0.0430920049548149,-11.563023567199709,0.7522154569625854,202.79232788085938,60.96398826599122,0.20507054778510106,1.554055270491651,pavement,7.521350860595703,4.222696781158447
18,drive,0,0.0591053999960422,-11.56741714477539,0.7901483774185181,188.4469757080078,64.73292778015137,0.22167573807789617,1.5265234075603369,pavement,7.505830764770508,4.206609725952148
19,drive,0,0.0757035911083221,-11.572096824645996,0.8150251239538192,158.81595611572266,67.90924690246582,0.2389210084988295,1.485836272675094,pavement,7.489675045013428,4.190148830413818
20,drive,0,0.093272678554058,-11.576519012451172,0.8673052549362181,131.8831787109375,70.54691047668457,0.257038088248617,1.4347521951475595,pavement,7.472893714904785,4.173039436340332
21,drive,0,0.1117307990789413,-11.580470085144045,0.8908956080675124,159.78346252441406,73.74257972717285,0.2759143481730693,1.3971415945247538,pavement,7.455682277679443,4.155137538909912
22,drive,0,0.1305710524320602,-11.584771156311035,0.9200202047824859,151.50999069213867,76.77277954101562,0.2952393154328921,1.3593442548044268,pavement,7.437963008880615,4.136603832244873
23,drive,0,0.1498689651489257,-11.589317321777344,0.9364210128784181,195.40452575683594,80.68087005615234,0.31506548641154597,1.3386471659031958,pavement,7.41973876953125,4.117584705352783
24,drive,0,0.1695758551359176,-11.59382152557373,0.9570979833602905,157.53347396850586,83.83153953552247,0.3352805640715201,1.307059760857265,pavement,7.401218891143799,4.098050594329834
25,drive,0,0.1890975832939148,-11.598751068115234,0.9435128808021543,206.03448486328125,87.95222923278808,0.3554150682855115,1.2936220109012797,pavement,7.382602691650391,4.078160285949707
26,drive,0,0.2086942642927169,-11.603924751281738,0.9602747261524198,145.6406936645508,90.8650431060791,0.3756831935978382,1.2643620475759163,pavement,7.36378812789917,4.058275699615479
27,drive,0,0.2286277264356613,-11.60900592803955,0.9705116271972656,138.0106430053711,93.62525596618651,0.39625407763932585,1.2351384881031835,pavement,7.344767570495605,4.0382280349731445
28,drive,0,0.248809665441513,-11.613683700561523,0.9680505037307738,187.6808738708496,97.37887344360351,0.41697103247837597,1.2208301387555982,pavement,7.325797080993652,4.017910003662109
29,drive,0,0.269191563129425,-11.618152618408203,0.9771976113319394,161.36917877197266,100.60625701904296,0.43783710494256733,1.201181983059739,pavement,7.306802272796631,3.9975266456604
30,drive,0,0.2897960841655731,-11.623224258422852,1.0099448680877685,120.05561828613281,103.00736938476561,0.4590566200069427,1.1730011092727224,pavement,7.287277221679687,3.977046251296997
31,drive,0,0.3100952506065368,-11.628737449645996,0.9765888988971709,185.24203491210935,106.7122100830078,0.4800911496109273,1.1619482759260265,pavement,7.267740249633789,3.956125259399414
32,drive,0,0.3298878073692322,-11.634147644042969,0.9604253470897676,166.67059707641602,110.04562202453613,0.5006098120092795,1.1491316681810149,pavement,7.248677730560303,3.935311317443848
